,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,Actin,Unkn,nc,19.25,
,A02,SYBR,Actin,Unkn,nc,19.28,
,A03,SYBR,Actin,Unkn,nc,20.03,
,A04,SYBR,Actin,Unkn,nc,20.01,
,A05,SYBR,Actin,Unkn,nc,20.16,
,A06,SYBR,Actin,Unkn,nc,20.24,
,A07,SYBR,Actin,Unkn,2133,19.89,
,A08,SYBR,Actin,Unkn,2133,20.02,
,A09,SYBR,Actin,Unkn,2133,20.34,
,A10,SYBR,Actin,Unkn,2133,20.86,
,A11,SYBR,Actin,Unkn,2133,21.48,
,A12,SYBR,Actin,Unkn,2133,,
,B01,SYBR,Actin,Unkn,668,20.29,
,B02,SYBR,Actin,Unkn,668,20.20,
,B03,SYBR,Actin,Unkn,668,19.86,
,B04,SYBR,Actin,Unkn,668,19.71,
,B05,SYBR,Actin,Unkn,668,19.32,
,B06,SYBR,Actin,Unkn,668,19.15,
,B07,SYBR,Actin,Unkn,2253,21.58,
,B08,SYBR,Actin,Unkn,2253,21.57,
,B09,SYBR,Actin,Unkn,2253,20.98,
,B10,SYBR,Actin,Unkn,2253,21.56,
,B11,SYBR,Actin,Unkn,2253,22.00,
,B12,SYBR,Actin,Unkn,2253,,
,C01,SYBR,mc2-n2,Unkn,nc,23.23,
,C02,SYBR,mc2-n2,Unkn,nc,23.14,
,C03,SYBR,mc2-n2,Unkn,nc,24.07,
,C04,SYBR,mc2-n2,Unkn,nc,24.01,
,C05,SYBR,mc2-n2,Unkn,nc,24.62,
,C06,SYBR,mc2-n2,Unkn,nc,24.58,
,C07,SYBR,mc2-n2,Unkn,2133,24.03,
,C08,SYBR,mc2-n2,Unkn,2133,24.13,
,C09,SYBR,mc2-n2,Unkn,2133,24.41,
,C10,SYBR,mc2-n2,Unkn,2133,24.65,
,C11,SYBR,mc2-n2,Unkn,2133,24.94,
,C12,SYBR,mc2-n2,Unkn,2133,,
,D01,SYBR,mc2-n2,Unkn,668,24.87,
,D02,SYBR,mc2-n2,Unkn,668,24.86,
,D03,SYBR,mc2-n2,Unkn,668,24.49,
,D04,SYBR,mc2-n2,Unkn,668,24.40,
,D05,SYBR,mc2-n2,Unkn,668,24.13,
,D06,SYBR,mc2-n2,Unkn,668,24.16,
,D07,SYBR,mc2-n2,Unkn,2253,26.13,
,D08,SYBR,mc2-n2,Unkn,2253,26.39,
,D09,SYBR,mc2-n2,Unkn,2253,25.29,
,D10,SYBR,mc2-n2,Unkn,2253,25.40,
,D11,SYBR,mc2-n2,Unkn,2253,25.19,
,D12,SYBR,mc2-n2,Unkn,2253,39.01,
,E01,SYBR,mcu-new,Unkn,nc,23.24,
,E02,SYBR,mcu-new,Unkn,nc,23.25,
,E03,SYBR,mcu-new,Unkn,nc,24.01,
,E04,SYBR,mcu-new,Unkn,nc,24.05,
,E05,SYBR,mcu-new,Unkn,nc,24.54,
,E06,SYBR,mcu-new,Unkn,nc,24.50,
,E07,SYBR,mcu-new,Unkn,2133,24.25,
,E08,SYBR,mcu-new,Unkn,2133,24.16,
,E09,SYBR,mcu-new,Unkn,2133,24.31,
,E10,SYBR,mcu-new,Unkn,2133,24.31,
,E11,SYBR,mcu-new,Unkn,2133,24.03,
,E12,SYBR,mcu-new,Unkn,2133,38.78,
,F01,SYBR,mcu-new,Unkn,668,25.05,
,F02,SYBR,mcu-new,Unkn,668,24.78,
,F03,SYBR,mcu-new,Unkn,668,24.43,
,F04,SYBR,mcu-new,Unkn,668,24.39,
,F05,SYBR,mcu-new,Unkn,668,24.34,
,F06,SYBR,mcu-new,Unkn,668,24.29,
,F07,SYBR,mcu-new,Unkn,2253,26.35,
,F08,SYBR,mcu-new,Unkn,2253,26.37,
,F09,SYBR,mcu-new,Unkn,2253,25.29,
,F10,SYBR,mcu-new,Unkn,2253,25.67,
,F11,SYBR,mcu-new,Unkn,2253,24.81,
,F12,SYBR,mcu-n3,Unkn,2253,32.78,
,G01,SYBR,uk,Unkn,uk,,
,G02,SYBR,uk,Unkn,uk,,
,G03,SYBR,uk,Unkn,uk,,
,G04,SYBR,uk,Unkn,uk,,
,G05,SYBR,uk,Unkn,uk,,
,G06,SYBR,uk,Unkn,uk,,
,G07,SYBR,uk,Unkn,uk,,
,G08,SYBR,uk,Unkn,uk,,
,G09,SYBR,uk,Unkn,uk,,
,G10,SYBR,uk,Unkn,uk,,
,G11,SYBR,uk,Unkn,uk,,
,G12,SYBR,uk,Unkn,uk,,
,H01,SYBR,uk,Unkn,uk,,
,H02,SYBR,uk,Unkn,uk,,
,H03,SYBR,uk,Unkn,uk,,
,H04,SYBR,uk,Unkn,uk,,
,H05,SYBR,uk,Unkn,uk,,
,H06,SYBR,uk,Unkn,uk,,
,H07,SYBR,uk,Unkn,uk,,
,H08,SYBR,uk,Unkn,uk,,
,H09,SYBR,uk,Unkn,uk,,
,H10,SYBR,uk,Unkn,uk,,
,H11,SYBR,uk,Unkn,uk,,
,H12,SYBR,uk,Unkn,uk,,
